form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00623512,SB21B.I26206,,,ORG,"CAMPAIGN MAIL & DATA, INC. DBA CMDI",,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2024-03-15,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26174,,,ORG,"PROFESSIONAL DATA SERVICES, INC",,,,,,824 SOUTH MILLEDGE AVENUE,STE 101,ATHENS,GA,30605,,,2024-03-01,521.00,,PAC COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26249,,,ORG,"PROFESSIONAL DATA SERVICES, INC",,,,,,824 SOUTH MILLEDGE AVENUE,STE 101,ATHENS,GA,30605,,,2024-03-29,521.00,,PAC COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26181,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-03-01,123.00,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26196,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-03-05,184.25,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26205,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-03-14,245.75,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26218,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-03-25,61.50,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26256,,,ORG,"RAISE THE MONEY, INC.",,,,,,P.O. BOX 26466,,LITTLE ROCK,AR,72221,,,2024-03-31,418.00,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26193,,,ORG,SIMMONS BANK,,,,,,501 MAIN STREET,,PINE BLUFF,AR,71601,,,2024-03-08,1526.71,,SEE MEMO ITEMS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26294,SB21B.I26193,SB21B,ORG,DELTA AIRLINES,,,,,,PO BOX 20706,,ATLANTA,GA,30320,,,2024-03-08,768.60,,PAC TRAVEL EXPENSE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00623512,SB21B.I26293,SB21B.I26193,SB21B,ORG,THE RITZ-CARLTON KEY BISCAYNE,,,,,,455 GRAND BAY DR.,,MIAMI,FL,33149,,,2024-03-08,739.56,,PAC TRAVEL EXPENSE,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00623512,SB21B.I26198,,,ORG,SIMMONS BANK,,,,,,501 MAIN STREET,,PINE BLUFF,AR,71601,,,2024-03-05,25.00,,PAC BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00623512,SB21B.I26220,,,ORG,SIMMONS BANK,,,,,,501 MAIN STREET,,PINE BLUFF,AR,71601,,,2024-03-18,72.00,,PAC BANK FEES,,,,,,,,,,,,,  ,,,,,,,
