form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00393728,SB21B.11454,,,ORG,Global Payments Inc.,,,,,,"3550 Lenox Road, Suite 3000",,Atlanta,GA,30326,,,2024-11-04,48.20,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00393728,SB21B.11442,,,ORG,PayPal,,,,,,P.O. Box 45950,,Omaha,NE,68145,,,2024-10-23,5.73,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00393728,SB21B.11443,,,ORG,PayPal,,,,,,P.O. Box 45950,,Omaha,NE,68145,,,2024-10-23,1.99,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00393728,SB21B.11444,,,ORG,PayPal,,,,,,P.O. Box 45950,,Omaha,NE,68145,,,2024-10-23,15.03,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00393728,SB21B.11450,,,ORG,PayPal,,,,,,P.O. Box 45950,,Omaha,NE,68145,,,2024-10-30,0.68,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00393728,SB21B.11451,,,ORG,PayPal,,,,,,P.O. Box 45950,,Omaha,NE,68145,,,2024-10-30,3.98,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00393728,SB21B.11445,,,ORG,PayPal,,,,,,P.O. Box 45950,,Omaha,NE,68145,,,2024-11-20,5.43,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00393728,SB21B.11446,,,ORG,PayPal,,,,,,P.O. Box 45950,,Omaha,NE,68145,,,2024-11-20,2.87,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00393728,SB21B.11447,,,ORG,PayPal,,,,,,P.O. Box 45950,,Omaha,NE,68145,,,2024-11-20,4.61,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00393728,SB21B.11448,,,ORG,PayPal,,,,,,P.O. Box 45950,,Omaha,NE,68145,,,2024-11-20,15.03,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00393728,SB21B.11449,,,ORG,PayPal,,,,,,P.O. Box 45950,,Omaha,NE,68145,,,2024-11-20,5.73,,Credit card processing fee,001,,,,,,,,,,,,,,,,,,,
