form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00625566,SB21B.13544,,,ORG,Adobe Systems Incorporated,,,,,,345 Park Ave,,San Jose,CA,95110,,,2023-06-30,41.63,,Software License,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13384,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-02-06,234.60,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13385,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-02-07,32.45,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13386,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-02-16,215.25,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13387,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-02-16,173.16,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13388,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-02-17,97.35,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13389,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-03-16,160.25,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13390,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-03-17,42.20,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13391,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-06-20,3.43,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13392,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-06-20,4.29,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13393,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-06-20,4.32,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13394,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-06-26,4.32,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13397,,,ORG,Best Buy,,,,,,7601 Penn Ave,,Richfield,MN,55423,,,2023-02-03,323.71,,General Office Equipment,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13551,,,ORG,Borromeo Consulting,,,,,,737 S Lemay Ave,Ste B4,Fort Collins,CO,80524,,,2023-01-31,8000.00,,PAC Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13552,,,ORG,Borromeo Consulting,,,,,,737 S Lemay Ave,Ste B4,Fort Collins,CO,80524,,,2023-02-28,27000.00,,PAC Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13553,,,ORG,Borromeo Consulting,,,,,,737 S Lemay Ave,Ste B4,Fort Collins,CO,80524,,,2023-03-31,25050.00,,PAC Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13554,,,ORG,Borromeo Consulting,,,,,,737 S Lemay Ave,Ste B4,Fort Collins,CO,80524,,,2023-04-30,5100.00,,PAC Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13555,,,ORG,Borromeo Consulting,,,,,,737 S Lemay Ave,Ste B4,Fort Collins,CO,80524,,,2023-05-31,3100.00,,PAC Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13556,,,ORG,Borromeo Consulting,,,,,,737 S Lemay Ave,Ste B4,Fort Collins,CO,80524,,,2023-06-30,8622.00,,PAC Management Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13557,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,,,2023-01-31,627.87,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13558,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,,,2023-02-28,627.87,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13559,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,,,2023-03-31,627.87,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13560,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,,,2023-04-30,74.62,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13561,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,,,2023-05-31,74.62,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13562,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,,,2023-06-30,74.62,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13404,,,ORG,Crossroads Towing,,,,,,3700 Canal Dr,,Fort Collins,CO,80524,,,2023-06-23,200.00,,Staff Travel Auto Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13405,,,ORG,Crystal Gardens,,,,,,2775 Iris Ave,,Boulder,CO,80304,,,2023-01-27,600.00,,PAC Storage Rent,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13406,,,ORG,Crystal Gardens,,,,,,2775 Iris Ave,,Boulder,CO,80304,,,2023-02-28,600.00,,PAC Storage Rent,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.13407,,,ORG,Crystal Gardens,,,,,,2775 Iris Ave,,Boulder,CO,80304,,,2023-03-28,600.00,,PAC Storage Rent,,,,,,,,,,,,,,,,,,,,
