form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00823559,SB29.4141,,,ORG,DICKINSON & WRIGHT PLLC,,,,,,1825 EYE STREET NW,STE 900,WASHINGTON,DC,20006,,,2023-09-25,343.00,,NON FEDERAL DISB - LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4135,,,ORG,INTUIT,,,,,,2632 MARINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-07-12,85.00,,NON FEDERAL DISB - SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4138,,,ORG,INTUIT,,,,,,2632 MARINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-08-14,95.94,,NON FEDERAL DISB - SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4140,,,ORG,INTUIT,,,,,,2632 MARINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-09-12,95.94,,NON FEDERAL DISB - SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4143,,,ORG,INTUIT,,,,,,2632 MARINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-10-12,95.94,,NON FEDERAL DISB - SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4145,,,ORG,INTUIT,,,,,,2632 MARINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-11-13,95.94,,NON FEDERAL DISB - SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4146,,,ORG,INTUIT,,,,,,2632 MARINE WAY,,MOUNTAIN VIEW,CA,94043,,,2023-12-12,95.94,,NON FEDERAL DISB - SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4136,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-07-06,292.50,,NON FEDERAL DISB - COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4137,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-08-02,337.50,,NON FEDERAL DISB - COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4139,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-09-07,315.00,,NON FEDERAL DISB - COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4142,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-10-03,157.50,,NON FEDERAL DISB - COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00823559,SB29.4144,,,ORG,RIGHTSIDE COMPLIANCE LLC,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-11-06,180.00,,NON FEDERAL DISB - COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
