form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00843482,SB29.4161,,,ORG,"Artisan Strategies & Solutions, LLC",,,,,,6931 Stoddert Ln,,Hyattsville,MD,20785,,,2023-10-31,4761.46,,Non-Contribution Acct - Non-Federal IE - Direct Mail Production,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4174,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,94043,,,2023-11-24,58.30,,Non-Contribution Account - Software,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4169,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,94043,,,2023-12-24,58.30,,Non-Contribution Account - Software,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4118,,,ORG,Kinetic Campaigns,,,,,,4304 Evergreen Ln,Ste 202,Annandale,VA,22203,,,2023-07-31,6297.64,,Non-Contribution Acct - Non-Federal IE - Direct Mail Production,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4138,,,ORG,Red Cypress Consulting,,,,,,1456 N Prieur St,,New Orleans,LA,70116,,,2023-08-18,7141.66,,Non-Contribution Acct - Non-Federal IE - Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4163,,,ORG,Red Cypress Consulting,,,,,,1456 N Prieur St,,New Orleans,LA,70116,,,2023-11-02,3640.00,,Non-Contribution Acct - Non-Federal IE - Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4122,,,ORG,Savvy Communications,,,,,,41-750 Rancho Las Palmas,Ste E-3,Rancho Mirage,CA,92270,,,2023-08-09,2160.77,,Non-Contribution Acct - Non-Federal IE - Texting Services,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4208,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-07-31,1110.00,,Non-Contribution Account In-Kind - Payroll,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4221,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-08-01,2500.00,,Non-Contribution Account In-Kind - Compliance Services,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4131,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-08-17,5545.75,,Non-Contribution Account In-Kind - Media Production,,,,,,,,,,,,,,,,,,,,
SB29,C00843482,SB29.4133,,,ORG,Sheriffs for Trusting Communities,,,,,,732 9th St,Unit 505,Durham,NC,27705,,,2023-08-17,168.00,,Non-Contribution Account In-Kind - Voter File,,,,,,,,,,,,,,,,,,,,
