form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00710178,SB21B-990809,,,ORG,BANK OF LABOR,,,,,,756 MINNESOTA AVENUE,,KANSAS CITY,KS,66101,,,2024-04-17,50.45,201.62,BANK SERVICE CHARGE,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987063,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-04-03,1462.78,55069.16,LEADS/PHONE LISTS,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987065,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-04-10,3058.21,55069.16,LEADS/PHONE LISTS,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987067,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-04-17,2734.17,55069.16,LEADS/PHONE LISTS,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987069,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-04-24,1493.08,55069.16,LEADS/PHONE LISTS,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987083,,,ORG,INTERNATIONAL UNION OF POLICE ASSN,,,,,,5632 BEE RIDGE ROAD,STE 200,SARASOTA,FL,34233,,,2024-04-30,32.28,16476.21,401K,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987073,,,ORG,INTERNATIONAL UNION OF POLICE ASSN,,,,,,5632 BEE RIDGE ROAD,STE 200,SARASOTA,FL,34233,,,2024-04-30,210.79,16476.21,CHECK RE-ORDER,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987085,,,ORG,INTERNATIONAL UNION OF POLICE ASSN,,,,,,5632 BEE RIDGE ROAD,STE 200,SARASOTA,FL,34233,,,2024-04-30,283.41,16476.21,UHC - HEALTH CARE,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987077,,,ORG,INTERNATIONAL UNION OF POLICE ASSN,,,,,,5632 BEE RIDGE ROAD,STE 200,SARASOTA,FL,34233,,,2024-04-30,350.00,16476.21,IT EXPENSE,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-990811,,,ORG,INTERNATIONAL UNION OF POLICE ASSN,,,,,,5632 BEE RIDGE ROAD,STE 200,SARASOTA,FL,34233,,,2024-04-30,500.00,16476.21,GOVERNMENTAL STRATEGIC CONSULTING,001,,,,,,,,,,,,,,,,,00000,,
SB21B,C00710178,SB21B-987081,,,ORG,INTERNATIONAL UNION OF POLICE ASSN,,,,,,5632 BEE RIDGE ROAD,STE 200,SARASOTA,FL,34233,,,2024-04-30,1025.96,16476.21,IUPA PAYROLL ALLOCATION,001,,,,,,,,,,,,,,,,,00000,,
