form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00813170,SB21B.4437,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-08-19,4675.05,,"Credit card payment, see below if itemized",001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4437.0,SB21B.4437,SB21B,ORG,Hyatt,,,,,,1625 K St NW,,Washington,DC,20006,,,2024-08-12,1110.98,,Hotels,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.1,SB21B.4437,SB21B,ORG,Alaska Airlines,,,,,,17801 International Blvd,,Seattle,WA,98158,,,2024-08-10,154.90,,Flights,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.2,SB21B.4437,SB21B,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-08-10,220.39,,Flights,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.4,SB21B.4437,SB21B,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-08-08,46.99,,Car Service,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.5,SB21B.4437,SB21B,ORG,Lyft,,,,,,185 Berry Street,#5000,San Francisco,CA,94107,,,2024-08-08,35.99,,Car Service,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.12,SB21B.4437,SB21B,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60601,,,2024-07-14,283.98,,Flights,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.15,SB21B.4437,SB21B,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-07-12,70.96,,Car Service,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.16,SB21B.4437,SB21B,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-07-12,54.99,,Car Service,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.17,SB21B.4437,SB21B,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-07-12,45.96,,Car Service,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.18,SB21B.4437,SB21B,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-07-11,30.75,,Car Service,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.19,SB21B.4437,SB21B,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-07-11,33.98,,Car Service,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.22,SB21B.4437,SB21B,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60601,,,2024-07-08,162.00,,Flights,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.23,SB21B.4437,SB21B,ORG,MARTHA DEAR,,,,,,3110 Mt Pleasant St NW,,Washington,DC,20010,,,2024-07-07,53.91,,Event Catering,007,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.24,SB21B.4437,SB21B,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60601,,,2024-07-06,573.30,,Flights,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4437.25,SB21B.4437,SB21B,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-07-05,465.78,,Flights,002,,,,,,,,,,,,,,,,,,X,
