form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00695163,SB21B.I21237,,,ORG,AMERICAN WRITERS NETWORK LLC,,,,,,800 MAINE AVE SW,STE 200,WASHINGTON,DC,20003,,,2024-08-02,5000.00,,JFC SPEECH WRITING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22595,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST,STE 1770,NEW ORLEANS,LA,70112,,,2024-09-30,160.50,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21067,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-07-08,22.67,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21075,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-07-15,71.99,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21122,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-07-22,927.14,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21210,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-07-29,405.58,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21246,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-07-31,1163.57,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21252,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-08-05,32.91,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21286,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-08-12,2591.98,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22313,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-08-19,1469.53,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22378,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-08-26,4784.60,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22403,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-09-02,537.58,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22484,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-09-09,1238.59,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22508,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-09-16,1046.06,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22538,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-09-23,1529.89,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22576,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-09-30,4835.57,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22588,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-09-30,1818.48,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22614,,,ORG,BETTER MOUSETRAP DIGITAL,,,,,,6501 RED HOOK PLAZA,"STE 201, PMB 927",ST THOMAS,VI,00802,,,2024-09-30,594.48,,JFC DIGITAL MARKETING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21259,,,ORG,"CAMPAIGN STRATEGIES, LLC",,,,,,880 NEW JERSEY AVE SE,UNIT 303,WASHINGTON,DC,20003,,,2024-08-05,3000.00,,JFC STRATEGY CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22418,,,ORG,"CAMPAIGN STRATEGIES, LLC",,,,,,880 NEW JERSEY AVE SE,UNIT 303,WASHINGTON,DC,20003,,,2024-09-03,3000.00,,JFC STRATEGY CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21027,,,ORG,CHASE,,,,,,P.O. BOX 1423,,CHARLOTTE,NC,28201,,,2024-07-03,5806.98,,SEE MEMO,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I21177,SB21B.I21027,SB21B,ORG,AMTRAK,,,,,,400 NORTH CAPITOL ST,,WASHINGTON,DC,20002,,,2024-07-03,18.00,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I21175,SB21B.I21027,SB21B,ORG,BAR-B-CUTIE SMOKEHOUSE,,,,,,5120 VIRGINIA WAY,STE B-23,BRENTWOOD,TN,37027,,,2024-07-03,20.21,,JFC MEETING EXPENSE,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I21176,SB21B.I21027,SB21B,ORG,BAR-B-CUTIE SMOKEHOUSE,,,,,,5120 VIRGINIA WAY,STE B-23,BRENTWOOD,TN,37027,,,2024-07-03,482.11,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I21169,SB21B.I21027,SB21B,ORG,DELTA AIRLINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30354,,,2024-07-03,667.20,,JFC TRAVEL EXPENSE,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I21167,SB21B.I21027,SB21B,ORG,FAST CAR AND LIMO SERVICE,,,,,,5144 PINE ABBE DR. S,,WEST PALM BEACH,FL,33415,,,2024-07-03,3369.28,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I21168,SB21B.I21027,SB21B,ORG,SOUTHWEST AIRLINES,,,,,,2702 LOVE FIELD DR.,,DALLAS,TX,75235,,,2024-07-03,480.98,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I21166,SB21B.I21027,SB21B,ORG,UBER,,,,,,1455 MARKET ST #400,,SAN FRANCISCO,CA,94103,,,2024-07-03,693.90,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I21234,,,ORG,CHASE,,,,,,P.O. BOX 1423,,CHARLOTTE,NC,28201,,,2024-08-01,4914.59,,SEE MEMO ENTRIES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I22340,SB21B.I21234,SB21B,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,,,2024-08-01,826.96,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
