form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00649574,SB21B.7934,,,ORG,Anedot,,,,,,PO Box 84314,,Baton Rouge,LA,70884,,,2024-12-31,2324.10,,Online Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7932,,,ORG,Capitol Tax Partners,,,,,,101 Constitution Ave NW,#675E,Washington,DC,20001,,,2024-12-30,250.00,,Site Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7918,,,ORG,Charlie Palmer Steakhouse,,,,,,"101 Constitution Ave., NW",,Washington,DC,20001,,,2024-12-05,2046.08,,Event Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7915,,,ORG,Greenbriar Sporting Club,,,,,,5 Kate's Mountain Rd.,,White Sulphur Springs,WV,24986,,,2024-11-29,3500.00,,Site Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7916,,,ORG,Greenbriar Sporting Club,,,,,,5 Kate's Mountain Rd.,,White Sulphur Springs,WV,24986,,,2024-12-02,3300.00,,Site Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7917,,,ORG,Greenbriar Sporting Club,,,,,,5 Kate's Mountain Rd.,,White Sulphur Springs,WV,24986,,,2024-12-02,3400.00,,Site Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7926,,,ORG,Greenbriar Sporting Club,,,,,,5 Kate's Mountain Rd.,,White Sulphur Springs,WV,24986,,,2024-12-12,3200.00,,Site Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7928,,,ORG,Greenbriar Sporting Club,,,,,,5 Kate's Mountain Rd.,,White Sulphur Springs,WV,24986,,,2024-12-13,1545.00,,Site Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7931,,,ORG,Hotel George,,,,,,15 E St NW,,Washington,DC,20001,,,2024-12-27,2555.24,,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7919,,,ORG,I Egg You,,,,,,517 8th St. SE,,Washington,DC,20003,,,2024-12-06,471.08,,Event Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7922,,,ORG,I Egg You,,,,,,517 8th St. SE,,Washington,DC,20003,,,2024-12-09,3504.99,,Event Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7923,,,ORG,I Egg You,,,,,,517 8th St. SE,,Washington,DC,20003,,,2024-12-11,46.37,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7921,,,ORG,Root and Stem Cafe,,,,,,2941 Fairview Park Dr.,,Falls Church,VA,22042,,,2024-12-06,987.84,,Event Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7930,,,ORG,Root and Stem Cafe,,,,,,2941 Fairview Park Dr.,,Falls Church,VA,22042,,,2024-12-18,43.51,,Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7933,,,ORG,The Greenbriar,,,,,,300 West Main St.,,White Sulphur Springs,WV,24986,,,2024-12-30,7149.02,,Site Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7925,,,ORG,Uber,,,,,,555 Market St.,,San Francisco,CA,94105,,,2024-12-12,54.03,,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00649574,SB21B.7927,,,ORG,Uber,,,,,,555 Market St.,,San Francisco,CA,94105,,,2024-12-13,56.74,,Travel,,,,,,,,,,,,,,,,,,,,
