form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00855064,SB21B.1,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,611 PENNSYLVANIA AVE SE #267,,WASHINGTON,DC,20003,,,2024-01-22,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.2,,,ORG,ASHBY LAW PC,,,,,,625 N WASHINGTON STREET,SUITE 325,ALEXANDRIA,VA,22314,,,2024-02-02,168.75,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.3,,,ORG,LOOK AHEAD STRATEGIES,,,,,,1500 WILSON BLVD,5TH FLOOR,ARLINGTON,VA,22209,,,2024-02-02,15000.00,,RESEARCH CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.4,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-02-26,50.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.5,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-03-01,24.99,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.6,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-03-11,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.8,,,ORG,ASHBY LAW PC,,,,,,625 N WASHINGTON STREET,SUITE 325,ALEXANDRIA,VA,22314,,,2024-03-14,760.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.7,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-03-14,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.9,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-03-15,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.10,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-03-22,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.11,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-03-27,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00855064,SB21B.12,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-03-28,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
