form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00530766,SB21B.48090,,,ORG,AMAZON.COM,,,,,,410 TERRY AVE N,,Seattle,WA,98109,,,2022-12-22,122.77,,Office Supplies,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.47988,,,ORG,American Express,,,,,,Three World Financial Center,200 Vesey Street,New York,NY,10285,,,2023-01-11,11124.86,,Credit Card Payment (see memo entries),,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48091,,,ORG,Broadnet Teleservices,,,,,,PO Box 975202,,Dallas,TX,75397,,,2022-12-22,10.53,,Data Subscription,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48092,,,ORG,Broadnet Teleservices,,,,,,PO Box 975202,,Dallas,TX,75397,,,2022-12-22,348.47,,Data Subscription,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48095,,,ORG,CHEESECAKE FACTORY,,,,,,2350 N MAYFAIR RD,,MILWAUKEE,WI,53226,,,2023-01-01,64.80,,Food/Beverage,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48093,,,ORG,CUBESMART,,,,,,2101 ROCK SPGS DR,,LAS VEGAS,NV,89128,,,2022-12-05,274.38,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48129,,,ORG,Enterprise Rent-A-Car,,,,,,14002 E 21ST ST,,Tulsa,OK,74134,,,2022-12-02,46.15,,Travel - Rental Cars,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48128,,,ORG,Enterprise Rent-A-Car,,,,,,14002 E 21ST ST,,Tulsa,OK,74134,,,2022-12-13,39.35,,Travel - Rental Cars,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48115,,,ORG,Extra Space,,,,,,4514 HIGH PT RD,,GREENSBORO,NC,27407,,,2022-12-02,121.00,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48116,,,ORG,Extra Space,,,,,,4514 HIGH PT RD,,GREENSBORO,NC,27407,,,2022-12-05,121.00,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48117,,,ORG,Extra Space,,,,,,1520 CORPORATE CTR DR,,WEST BEND,WI,53095,,,2022-12-05,154.00,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48118,,,ORG,Extra Space,,,,,,2222 WEST SOUTHERN AVE,,TEMPE,AZ,85282,,,2022-12-05,195.14,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48119,,,ORG,Extra Space,,,,,,7018 SOUTH US HWY 301,,RIVERVIEW,FL,33678,,,2022-12-05,234.62,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48120,,,ORG,Extra Space,,,,,,7018 SOUTH US HWY 301,,RIVERVIEW,FL,33678,,,2022-12-29,221.48,,Storage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48114,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-03,39.54,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48113,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-06,691.09,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48112,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-07,37.51,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48111,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-08,30.73,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48110,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-10,32.14,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48109,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-13,39.16,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48107,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-14,108.81,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48106,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-15,132.84,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48105,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-17,42.06,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48104,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-22,258.36,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.48103,,,ORG,Federal Express,,,,,,3875 Airways Blvd,,Memphis,TN,38116,,,2022-12-29,17.10,,Postage,001,,,,,,,,,,,,,,,,,,X,
SB21B,C00530766,SB21B.47987,,,ORG,Grand Slam Finance Inc.,,,,,,103 CR 180 #62,,Leander,TX,78641,,,2023-01-17,4000.00,,Consulting fees for compliance,001,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48077,,,ORG,Headway Workforce Solutions Inc.,,,,,,3100 Smoketree Ct.,Suite 900,Raleigh,NC,27604,,,2023-01-01,2879.82,,Field and State Director Pay,001,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48078,,,ORG,Headway Workforce Solutions Inc.,,,,,,3100 Smoketree Ct.,Suite 900,Raleigh,NC,27604,,,2023-01-01,2160.00,,Field and State Director Pay,001,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48079,,,ORG,Headway Workforce Solutions Inc.,,,,,,3100 Smoketree Ct.,Suite 900,Raleigh,NC,27604,,,2023-01-01,5130.00,,Field and State Director Pay,001,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48080,,,ORG,Headway Workforce Solutions Inc.,,,,,,3100 Smoketree Ct.,Suite 900,Raleigh,NC,27604,,,2023-01-01,4000.00,,Field and State Director Pay,001,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48081,,,ORG,Headway Workforce Solutions Inc.,,,,,,3100 Smoketree Ct.,Suite 900,Raleigh,NC,27604,,,2023-01-01,4000.00,,Field and State Director Pay,001,,,,,,,,,,,,,,,,,,,
SB21B,C00530766,SB21B.48082,,,ORG,Headway Workforce Solutions Inc.,,,,,,3100 Smoketree Ct.,Suite 900,Raleigh,NC,27604,,,2023-01-01,1440.17,,Field and State Director Pay,001,,,,,,,,,,,,,,,,,,,
