form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00528950,SB21B.16368,,,ORG,ActBlue Technical Services,,,,,,PO BOX 441146,,Somerville,MA,02144,,,2024-09-30,11323.23,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16376,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-07-15,150.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16393,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-08-14,150.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16394,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-08-19,150.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16396,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-08-21,500.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16414,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-09-16,150.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16374,,,ORG,Bill.com,,,,,,6220 America Center Drive,Suite 100,San Jose,CA,95002,,,2024-07-09,336.00,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16392,,,ORG,Bill.com,,,,,,6220 America Center Drive,Suite 100,San Jose,CA,95002,,,2024-08-09,337.04,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16412,,,ORG,Bill.com,,,,,,6220 America Center Drive,Suite 100,San Jose,CA,95002,,,2024-09-10,358.74,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16411,,,ORG,Garner & Associates LLC,,,,,,1231 B Good Hope Road SE,,Washington,DC,20020,,,2024-09-05,2000.00,,Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16372,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-07-01,194.62,,Online Data Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16390,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-08-01,200.28,,Online Data Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16403,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-09-03,202.25,,Online Data Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16388,,,ORG,HIT Strategies,,,,,,1220 L St NW,#100-417,Washington,DC,20005,,,2024-07-31,24100.00,,Research,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16398,,,ORG,HIT Strategies,,,,,,1220 L St NW,#100-417,Washington,DC,20005,,,2024-08-23,2400.00,,Research,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16406,,,ORG,HIT Strategies,,,,,,1220 L St NW,#100-417,Washington,DC,20005,,,2024-09-05,12050.00,,Research,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16407,,,ORG,HIT Strategies,,,,,,1220 L St NW,#100-417,Washington,DC,20005,,,2024-09-05,12050.00,,Research,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16379,,,ORG,Intuit,,,,,,"601 Pennsylvania Ave, NW",,Washington,DC,20004,,,2024-07-22,95.40,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16395,,,ORG,Intuit,,,,,,"601 Pennsylvania Ave, NW",,Washington,DC,20004,,,2024-08-19,104.94,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16415,,,ORG,Intuit,,,,,,"601 Pennsylvania Ave, NW",,Washington,DC,20004,,,2024-09-19,104.94,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16377,,,ORG,Liftoff Campaigns LLC,,,,,,403 E Melbourne Ave,,Silver Spring,MD,20901,,,2024-07-16,50000.00,,Digital Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.16378,,,ORG,Liftoff Campaigns LLC,,,,,,403 E Melbourne Ave,,Silver Spring,MD,20901,,,2024-07-22,50000.00,,Digital Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
