form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00794024,SB21B.4735,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST,,NEW ORLEANS,LA,70112,,,2024-03-31,228.55,,CREDIT CARD PROCESSING,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4554,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-03-31,410.00,,BANK FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4557,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,TYSONS CORNER,VA,22182,,,2024-02-26,250.00,,COMPUTER SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4559,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,TYSONS CORNER,VA,22182,,,2024-03-15,250.00,,COMPUTER SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4547,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE STREET,,ANNAPOLIS,MD,21401,,,2024-03-11,4224.00,,FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4549,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2024-01-02,15126.12,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4550,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2024-01-25,2400.00,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4551,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2024-01-25,15335.58,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4553,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2024-02-12,3600.00,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4556,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2024-02-23,4750.51,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4560,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2024-02-28,5223.99,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4546,,,ORG,"WHEELERHOUSE, LLC",,,,,,415 WARNER STREET NW,,WASHINGTON,DC,20001,,,2024-03-11,4224.00,,FUNDRAISING SERVICES,,,,,,,,,,,,,,,,,,,,
