form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00114702,16112152,,,ORG,Quorum Analytics Inc.,,,,,,"1 Thomas Circle NW, Suite 600",,Washington,DC,20005,,,2024-02-20,914.38,0.00,PAC software tax,001,,,,,,,,,,,,,,,,,,,PAC software tax
SB29,C00114702,16209602,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-02-16,23.55,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16209604,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-02-17,4.95,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16209608,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-02-21,14.25,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16209610,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-02-21,232.80,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16209612,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-02-21,232.80,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16209616,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-02-26,23.55,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16209624,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-02-28,23.55,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16554115,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-03-06,23.55,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16992351,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-03-22,46.80,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16996268,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-03-27,4.95,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16996270,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-03-27,116.71,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16996351,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-03-27,232.80,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,16996405,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-03-27,23.55,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,17003478,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-03-29,139.80,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
SB29,C00114702,17003482,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,,,2024-03-29,4.95,0.00,credit card processing fee,001,,,,,,,,,,,,,,,,,,,credit card processing fee
