form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00889493,SB21B.I478745,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,SUITE 1770,NEW ORLEANS,LA,70112,,,2024-10-22,1000.30,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478729,,,ORG,BROGHAMER CONSULTING LLC,,,,,,502 MONROE STREET,,NEWPORT,KY,41071,,,2024-10-21,2310.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484992,,,ORG,BROGHAMER CONSULTING LLC,,,,,,502 MONROE STREET,,NEWPORT,KY,41071,,,2024-11-01,3506.25,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I485017,,,ORG,BROGHAMER CONSULTING LLC,,,,,,502 MONROE STREET,,NEWPORT,KY,41071,,,2024-11-18,2516.25,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478725,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-18,1942.04,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478741,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-21,15.61,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484928,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-24,2.08,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484933,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-25,48.32,,ADVERTISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484946,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-10-28,3.15,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484999,,,ORG,CAMPAIGN SOLUTIONS,,,,,,117 N SAINT ASAPH ST,,ALEXANDRIA,VA,22314,,,2024-11-04,0.50,,CREDIT CARD MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478737,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-21,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478738,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-21,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478739,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-21,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478746,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-22,2.50,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I478747,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-22,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484939,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-25,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484940,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-25,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484964,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-29,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484965,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-29,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484988,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-10-31,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I484997,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-11-01,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I485011,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-11-04,2.50,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00889493,SB21B.I485012,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-11-04,25.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
