form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00495887,SB21B.961219,,,ORG,ARISTOTLE INTERNATIONAL INC,,,,,,205 PENNSYLVANIA AVENUE SE,,WASHINGTON,DC,20003,,,2023-10-24,2850.00,,SOFTWARE SERVICES
SB21B,C00495887,SB21B.951549,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2023-07-05,25.00,,BANK FEES
SB21B,C00495887,SB21B.954226,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2023-08-02,25.00,,BANK FEES
SB21B,C00495887,SB21B.969648,,,ORG,DTN.TECH,,,,,,11615 ANABEL AVE,,GARDEN GROVE,CA,92843,,,2023-11-06,97.00,,COLLATERAL: POSTCARDS
SB21B,C00495887,SB21B.952568,,,ORG,MEETING STREET SERVICES LLC,,,,,,#1224 4950 CENTREPOINT DR,SUITE 100,NORTH CHARLESTON,SC,29418,,,2023-07-20,80000.00,,DIGITAL CONSULTING
SB21B,C00495887,SB21B.958781,,,ORG,MEETING STREET SERVICES LLC,,,,,,#1224 4950 CENTREPOINT DR,SUITE 100,NORTH CHARLESTON,SC,29418,,,2023-08-23,20000.00,,DIGITAL CONSULTING
SB21B,C00495887,SB21B.963131,,,ORG,MEETING STREET SERVICES LLC,,,,,,#1224 4950 CENTREPOINT DR,SUITE 100,NORTH CHARLESTON,SC,29418,,,2023-10-03,20000.00,,DIGITAL CONSULTING
SB21B,C00495887,SB21B.967207,,,ORG,MEETING STREET SERVICES LLC,,,,,,#1224 4950 CENTREPOINT DR,SUITE 100,NORTH CHARLESTON,SC,29418,,,2023-10-19,20000.00,,DIGITAL CONSULTING
SB21B,C00495887,SB21B.968410,,,ORG,MEETING STREET SERVICES LLC,,,,,,#1224 4950 CENTREPOINT DR,SUITE 100,NORTH CHARLESTON,SC,29418,,,2023-10-30,4000.00,,MEDIA MANAGEMENT CONSULTING
SB21B,C00495887,SB21B.969893,,,ORG,MEETING STREET SERVICES LLC,,,,,,#1224 4950 CENTREPOINT DR,SUITE 100,NORTH CHARLESTON,SC,29418,,,2023-11-06,4000.00,,MEDIA MANAGEMENT CONSULTING
SB21B,C00495887,SB21B.971311,,,ORG,MEETING STREET SERVICES LLC,,,,,,#1224 4950 CENTREPOINT DR,SUITE 100,NORTH CHARLESTON,SC,29418,,,2023-11-17,20000.00,,DIGITAL CONSULTING
SB21B,C00495887,SB21B.973636,,,ORG,MEETING STREET SERVICES LLC,,,,,,#1224 4950 CENTREPOINT DR,SUITE 100,NORTH CHARLESTON,SC,29418,,,2023-12-08,2666.67,,MEDIA MANAGEMENT CONSULTING
SB21B,C00495887,SB21B.975150,,,ORG,MEETING STREET SERVICES LLC,,,,,,#1224 4950 CENTREPOINT DR,SUITE 100,NORTH CHARLESTON,SC,29418,,,2023-12-27,10000.00,,DIGITAL CONSULTING
SB21B,C00495887,SB21B.953310,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2023-08-03,45.90,,DATA PROCESSING SERVICES
SB21B,C00495887,SB21B.964191,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2023-10-03,14.85,,DATA PROCESSING SERVICES
SB21B,C00495887,SB21B.967728,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2023-10-20,31000.00,,FUNDRAISING & COMPLIANCE SOFTWARE & SERVICES
SB21B,C00495887,SB21B.969106,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2023-11-02,5006.60,,FUNDRAISING & COMPLIANCE SOFTWARE & SERVICES
SB21B,C00495887,SB21B.972728,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2023-12-15,2503.30,,FUNDRAISING & COMPLIANCE SOFTWARE & SERVICES
SB21B,C00495887,SB21B.953131,,,ORG,RED RIVER CO LLC,,,,,,4251 ADELE DR,,BRANDYWINE,MD,20613,,,2023-07-28,20017.68,,FUNDRAISING CONSULTING EXPENSES
SB21B,C00495887,SB21B.960219,,,ORG,RED RIVER CO LLC,,,,,,4251 ADELE DR,,BRANDYWINE,MD,20613,,,2023-09-01,8637.59,,FUNDRAISING CONSULTING EXPENSES
SB21B,C00495887,SB21B.968589,,,ORG,RED RIVER CO LLC,,,,,,4251 ADELE DR,,BRANDYWINE,MD,20613,,,2023-10-30,3849.05,,FUNDRAISING CONSULTING EXPENSES
SB21B,C00495887,SB21B.973498,,,ORG,RED RIVER CO LLC,,,,,,4251 ADELE DR,,BRANDYWINE,MD,20613,,,2023-12-08,4716.52,,FUNDRAISING CONSULTING EXPENSES
SB21B,C00495887,SB21B.975396,,,ORG,RED RIVER CO LLC,,,,,,4251 ADELE DR,,BRANDYWINE,MD,20613,,,2023-12-21,1301.69,,FUNDRAISING CONSULTING EXPENSES
SB21B,C00495887,SB21B.969352,,,ORG,"STACY E. WIGGINS, CPA, PC",,,,,,1409 ASHLEY RIVER ROAD,,CHARLESTON,SC,29407,,,2023-11-02,2000.00,,TREASURER SERVICES
SB21B,C00495887,SB21B.972567,,,ORG,"STACY E. WIGGINS, CPA, PC",,,,,,1409 ASHLEY RIVER ROAD,,CHARLESTON,SC,29407,,,2023-12-08,2000.00,,TREASURER SERVICES
SB21B,C00495887,SB21B.975823,,,ORG,"STACY E. WIGGINS, CPA, PC",,,,,,1409 ASHLEY RIVER ROAD,,CHARLESTON,SC,29407,,,2023-12-28,2000.00,,TREASURER SERVICES
SB21B,C00495887,SB21B.951550,,,ORG,TRUIST,,,,,,1445 NEW YORK AVENUE NW,4TH FLOOR,WASHINGTON,DC,20005,,,2023-07-05,36.00,,BANK FEES
SB21B,C00495887,SB21B.959036,,,ORG,TRUIST,,,,,,1445 NEW YORK AVENUE NW,4TH FLOOR,WASHINGTON,DC,20005,,,2023-07-21,95.00,,BANK FEES
SB21B,C00495887,SB21B.976052.3,,,ORG,TRUIST,,,,,,1445 NEW YORK AVENUE NW,4TH FLOOR,WASHINGTON,DC,20005,,,2023-08-21,42.00,,BANK FEES
SB21B,C00495887,SB21B.976052.4,,,ORG,TRUIST,,,,,,1445 NEW YORK AVENUE NW,4TH FLOOR,WASHINGTON,DC,20005,,,2023-09-21,45.00,,BANK FEES
