form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00836866,EB430,,,ORG,Ad Victoriam Solutions,,,,,,"6525 Shiloh Road, Ste. D-300",,Alpharetta,GA,30005,,,2024-10-19,1.70,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB429,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-10-19,587.06,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB419,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-10-21,-12.80,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB407,,,ORG,"WinRed Technical Services, LLC",,,,,,"1776 Wilson Blvd., Ste. 530",,Arlington,VA,22219,,,2024-10-21,9.07,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB421,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-10-22,239.55,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB420,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-10-22,1586.27,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB408,,,ORG,"WinRed Technical Services, LLC",,,,,,"1776 Wilson Blvd., Ste. 530",,Arlington,VA,22219,,,2024-10-22,97.86,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB409,,,ORG,"WinRed Technical Services, LLC",,,,,,"1776 Wilson Blvd., Ste. 530",,Arlington,VA,22219,,,2024-10-22,15.00,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB410,,,ORG,"WinRed Technical Services, LLC",,,,,,"1776 Wilson Blvd., Ste. 530",,Arlington,VA,22219,,,2024-10-22,16.68,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB422,,,ORG,"Frontline Strategies, LLC",,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2024-10-23,981.59,,Online fundraising commission,001,,,,,,,,,,,,,,,,,,,
SB21B,C00836866,EB411,,,ORG,"WinRed Technical Services, LLC",,,,,,"1776 Wilson Blvd., Ste. 530",,Arlington,VA,22219,,,2024-10-23,52.31,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
