form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00708644,SB21B.5041,,,ORG,ANEDOT INC.,,,,,,1340 POYDRAS ST,STE 1770,NEW ORLEANS,LA,70112,,,2024-07-03,796.30,,MERCHANT FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5050,,,ORG,BELMONT STRATEGIES,,,,,,184 WEST BOYLSTON ST,,WEST BOYLSTON,MA,01583,,,2024-07-29,10000.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5045,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2024-07-29,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5060,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2024-08-28,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5063,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2024-09-09,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5044,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-09,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5046,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-29,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5047,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-29,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5048,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-07-29,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5052,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-07,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5053,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-07,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5054,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-07,2.50,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5058,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-20,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5061,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-08-28,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5064,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-09,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5065,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-12,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5066,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2024-09-12,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5057,,,ORG,"CREATIVE STRATEGIC SOLUTIONS, LLC",,,,,,7708 RICHMOND HWY,STE 1018,ARLINGTON,VA,22313,,,2024-08-07,587.26,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5049,,,ORG,DICKINSON WRIGHT PLLC,,,,,,1825 EYE STREET NW,STE 900,WASHINGTON,DC,20006,,,2024-07-29,33534.75,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5055,,,ORG,DICKINSON WRIGHT PLLC,,,,,,1825 EYE STREET NW,STE 900,WASHINGTON,DC,20006,,,2024-08-07,34515.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5062,,,ORG,DICKINSON WRIGHT PLLC,,,,,,1825 EYE STREET NW,STE 900,WASHINGTON,DC,20006,,,2024-08-28,1134.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5070,,,ORG,HISSAM FORMAN DONOVAN RITCHIE,,,,,,PO BOX 3983,,CHARLESTON,WV,25339,,,2024-09-12,13976.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5068,,,ORG,MURRAY CONSULTING,,,,,,9 CAMPBELL LN,,LARCHMONT,NY,10538,,,2024-09-12,2700.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5043,,,ORG,MURRAY STRATEGIES LLC,,,,,,9 CAMPBELL LN,,LARCHMONT,NY,10538,,,2024-07-08,4389.27,,"FUNDRAISING CONSULTING, FUNDRAISING CONSULTING EXPENSE: TRAVEL",,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5059,,,ORG,MURRAY STRATEGIES LLC,,,,,,9 CAMPBELL LN,,LARCHMONT,NY,10538,,,2024-08-20,1330.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5051,,,ORG,SW2 POLITICAL,,,,,,107 S WEST ST,#956,ALEXANDRIA,VA,22314,,,2024-07-29,5000.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5056,,,ORG,SW2 POLITICAL,,,,,,107 S WEST ST,#956,ALEXANDRIA,VA,22314,,,2024-08-07,5000.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.5067,,,ORG,SW2 POLITICAL,,,,,,107 S WEST ST,#956,ALEXANDRIA,VA,22314,,,2024-09-09,5000.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
