form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00376343,V02D14B49BA37D632A33,,,ORG,Regions Bank,,,,,,100 Chesterfield Industrial Blvd,,Chesterfield,MO,630051220,,,2024-12-09,70.14,,Bank Analysis Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,VFD831B08668E43983F0,,,ORG,Square,,,,,,110 5th St,,San Francisco,CA,941032918,,,2024-12-01,4.96,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,VB39182956196FFAC9E3,,,ORG,Square,,,,,,110 5th St,,San Francisco,CA,941032918,,,2024-12-03,20.18,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V15FEDF1A61FD3C9B6DB,,,ORG,Square,,,,,,110 5th St,,San Francisco,CA,941032918,,,2024-12-05,6.83,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V2695D30F81812376694,,,ORG,Square,,,,,,110 5th St,,San Francisco,CA,941032918,,,2024-12-16,1.03,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,VAAE378FEE6275B7A67F,,,ORG,Square,,,,,,110 5th St,,San Francisco,CA,941032918,,,2024-12-22,1.75,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V87814FE48C41EC6B3A5,,,ORG,Square,,,,,,110 5th St,,San Francisco,CA,941032918,,,2024-12-24,4.23,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V6CA6A6A7EB6E2AB44A3,,,ORG,Square,,,,,,110 5th St,,San Francisco,CA,941032918,,,2024-12-29,14.80,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V2EB944840DED3CFED76,,,ORG,Square,,,,,,110 5th St,,San Francisco,CA,941032918,,,2024-12-31,7.55,,credit card processing fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,VEAD7C1296A6023C3DBF,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2024-12-12,3.80,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00376343,V640256719B9750D4AE7,,,ORG,Stripe,,,,,,185 Berry St,Ste 550,San Francisco,CA,941079105,,,2024-12-23,18.67,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,
