form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00653188,V89CD269282CFF17AB99,,,ORG,Arrive Hotel,,,,,,1813 E 6th Street,,Austin,TX,32523,,,2023-03-27,841.23,,Lodging/Hotel,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,V5F2C6122150C73CA063,,,ORG,Bandon Dunes Golf Resort,,,,,,57744 Round Lake Road,,Bandon,OR,97411,,,2023-04-25,2614.75,,Lodging/Hotel,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,VB477D404B0DDE223844,,,ORG,Big Frog Custom T-Shirts & More,,,,,,2016 Glen Echo Rd,,Nashville,TN,37215,,,2023-04-13,1469.41,,PAC Supporter Gifts (shirts),001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,VB9304651C48C82DE6AF,,,ORG,"Broadcast Music, Inc.",,,,,,7 World Trade Center,250 Greenwich Street,New York,NY,10007,,,2023-03-14,2177.67,,Payment for services to administer and operate PAC,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,VC3AEB7EFDB7F9B8B1FE,,,ORG,"Broadcast Music, Inc.",,,,,,7 World Trade Center,250 Greenwich Street,New York,NY,10007,,,2023-06-12,2177.67,,Payment for services to administer and operate PAC,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,VB3650202156DB55B5F8,,,ORG,Hotel Rodney,,,,,,142 Second Street,,Lewes,DE,19958,,,2023-03-10,379.68,,Lodging/Hotel,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,V43321B9BBA81F8298CA,,,ORG,lululemon athletica inc.,,,,,,2201 140th Ave East,,Sumner,WA,98390,,,2023-03-15,3748.51,,PAC Supporter Gifts (bags/hoodies),001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,VF3E61629B63FE6DF279,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,,,2023-02-09,290.60,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,VCB0C3C06FD6585C3A01,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,,,2023-02-10,145.63,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,V9E6ABE8B3D564C2EA50,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,,,2023-02-23,305.40,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,VA1BD16C9C1E43C9F11D,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,,,2023-02-24,58.60,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,VD442787C9C1074BDB6D,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,,,2023-03-14,5.38,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,V289BE77515F0750AFDC,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,,,2023-03-15,87.60,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,V46B3CCCB7078FF4870F,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,,,2023-03-16,14.80,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,V165DB30B4522222CD76,,,ORG,"Stripe, Inc.",,,,,,354 Oyster Point Boulevard,,South San Francisco,CA,94080,,,2023-04-19,14.80,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,V47D4DBA50839A309149,,,ORG,Uber Technologies,,,,,,1515 3rd Street,,San Francisco,CA,94158,,,2023-03-27,34.20,,Transportation,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,V5B24F27AB0273577880,,,ORG,Uber Technologies,,,,,,1515 3rd Street,,San Francisco,CA,94158,,,2023-03-27,67.77,,Transportation,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,VDCD3EFDF13C862D6439,,,ORG,Uber Technologies,,,,,,1515 3rd Street,,San Francisco,CA,94158,,,2023-03-27,41.75,,Transportation,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,V6914A4E8C85C3A0048D,,,ORG,"United Airlines, Inc.",,,,,,233 South Wacker Drive,,Chicago,IL,60606,,,2023-02-13,672.00,,Airfare,001,,,,,,,,,,,,,,,,,,,
SB21B,C00653188,VB61A2C04794AD953EED,,,ORG,"United Airlines, Inc.",,,,,,233 South Wacker Drive,,Chicago,IL,60606,,,2023-05-08,1236.90,,Airfare,001,,,,,,,,,,,,,,,,,,,
