form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00703082,SB21B.8493,,,PAC,ActBlue,,,,,,366 Summer St.,,Somerville,MA,02144,G2024,,2024-11-25,567.58,,Merchant Fees,,C00714725,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8469,,,ORG,Catalyst Campaigns,,,,,,4701 N Figueroa St,,Los Angeles,CA,90042,G2024,,2024-10-18,5500.00,,Press and Communications Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8480,,,ORG,Catalyst Campaigns,,,,,,4701 N Figueroa St,,Los Angeles,CA,90042,G2024,,2024-10-24,2250.00,,Media Editing & web Development,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8486,,,ORG,Catalyst Campaigns,,,,,,4701 N Figueroa St,,Los Angeles,CA,90042,G2024,,2024-11-04,1895.68,,Web Development,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8488,,,ORG,Fifth Third,,,,,,21 E State St,,Columbus,OH,43215,G2024,,2024-11-13,271.50,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8490,,,ORG,McTigue & Colombo LLC,,,,,,545 East Town Street,,Columbus,OH,43215,G2024,,2024-11-13,700.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8479,,,ORG,Pocket Earth Inc.,,,,,,"1226 North Flores Street, Suite G",,Los Angeles,CA,90069,G2024,,2024-10-23,1000.00,,Graphic Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8477,,,ORG,Shopify,,,,,,"33 New Montgomery Street, Ste. 750",,San Francisco,CA,94105,G2024,,2024-10-23,112.88,,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8491,,,ORG,Shopify,,,,,,"33 New Montgomery Street, Ste. 750",,San Francisco,CA,94105,G2024,,2024-11-22,112.88,,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8475,,,ORG,Tigereye Promotions LLC,,,,,,66 Industry Court Suite D,,Troy,OH,45373,G2024,,2024-10-21,2110.18,,Fulfillment Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8481,,,ORG,Tigereye Promotions LLC,,,,,,66 Industry Court Suite D,,Troy,OH,45373,G2024,,2024-10-25,36.92,,Fulfillment Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8482,,,ORG,Tigereye Promotions LLC,,,,,,66 Industry Court Suite D,,Troy,OH,45373,G2024,,2024-10-28,59.30,,Fulfillment Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8483,,,ORG,Tigereye Promotions LLC,,,,,,66 Industry Court Suite D,,Troy,OH,45373,G2024,,2024-10-31,377.30,,Fulfillment Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8484,,,ORG,Tigereye Promotions LLC,,,,,,66 Industry Court Suite D,,Troy,OH,45373,G2024,,2024-11-04,100.00,,Fulfillment Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8471,,,ORG,"Winning Progressive Consulting, Inc",,,,,,5919 Ostrom Avenue,,Encino,CA,91316,G2024,,2024-10-18,7500.00,,Communications Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8485,,,ORG,"Winning Progressive Consulting, Inc",,,,,,5919 Ostrom Avenue,,Encino,CA,91316,G2024,,2024-11-04,7500.00,,Communications Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00703082,SB21B.8473,,,ORG,ZB4Y Productions LLC,,,,,,2700 Cahuenga Blvd E,#1201,Los Angeles,CA,90068,G2024,,2024-10-21,750.00,,Media Editing,,,,,,,,,,,,,,,,,,,,
