form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00641142,SB21B.I30120,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-11-08,40.30,,PAC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I24719,,,ORG,CMDI,,,,,,"1593 SPRING HILL ROAD, SUITE 400",,TYSONS CORNER,VA,22182,,,2023-07-11,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I27818,,,ORG,CMDI,,,,,,"1593 SPRING HILL ROAD, SUITE 400",,TYSONS CORNER,VA,22182,,,2023-08-10,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I28905,,,ORG,CMDI,,,,,,"1593 SPRING HILL ROAD, SUITE 400",,TYSONS CORNER,VA,22182,,,2023-09-12,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I30048,,,ORG,CMDI,,,,,,"1593 SPRING HILL ROAD, SUITE 400",,TYSONS CORNER,VA,22182,,,2023-10-11,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I30139,,,ORG,CMDI,,,,,,"1593 SPRING HILL ROAD, SUITE 400",,TYSONS CORNER,VA,22182,,,2023-11-10,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I31296,,,ORG,CMDI,,,,,,"1593 SPRING HILL ROAD, SUITE 400",,TYSONS CORNER,VA,22182,,,2023-12-12,250.00,,PAC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I24678,,,ORG,"COLDSPARK MEDIA, INC.",,,,,,"307 FOURTH ST, 14TH FLOOR",14TH FLOOR,PITTSBURGH,PA,15222,,,2023-07-06,1500.00,,PAC DIGITAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I26798,,,ORG,"COLDSPARK MEDIA, INC.",,,,,,"307 FOURTH ST, 14TH FLOOR",14TH FLOOR,PITTSBURGH,PA,15222,,,2023-08-11,1500.00,,PAC DIGITAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I31301,,,ORG,"COLDSPARK MEDIA, INC.",,,,,,"307 FOURTH ST, 14TH FLOOR",14TH FLOOR,PITTSBURGH,PA,15222,,,2023-12-15,6000.00,,PAC DIGITAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I28863,,,ORG,IMPERIUM FUNDRAISING LLC,,,,,,499 SOUTH CAPITOL ST SW #405,,WASHINGTON,DC,20003,,,2023-09-06,10136.80,,PAC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I26759,,,ORG,"PROFESSIONAL DATA SERVICES, INC.",,,,,,824 S MILLEDGE AVE STE 101,,ATHENS,GA,30605,,,2023-08-01,628.01,,PAC COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I28856,,,ORG,"PROFESSIONAL DATA SERVICES, INC.",,,,,,824 S MILLEDGE AVE STE 101,,ATHENS,GA,30605,,,2023-09-01,539.13,,PAC COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I31300,,,ORG,"PROFESSIONAL DATA SERVICES, INC.",,,,,,824 S MILLEDGE AVE STE 101,,ATHENS,GA,30605,,,2023-12-15,1584.63,,PAC COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00641142,SB21B.I31198,,,ORG,THE BIERGARTEN,,,,,,7561 CENTER AVE #49,,HUNTINGTON BEACH,CA,92647,,,2023-11-20,185.70,,PAC MEETING EXPENSE,,,,,,,,,,,,,  ,,,,,,,
