form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00846683,SB29.4602,,,ORG,1776 PAC,,,,,,104 Hansen Ct,,O'Fallon,MO,63366,,,2024-10-03,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4604,,,ORG,417 PAC,,,,,,901 E Battlefield Rd,,Springfield,MO,65807,,,2024-10-03,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4606,,,ORG,Brad PAC,,,,,,PO Box 52,,Jefferson City,MO,65102,,,2024-10-03,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4684,,,ORG,CampaignHQ,,,,,,PO Box 257,,Brooklyn,IA,52211,,,2024-11-05,10038.90,,Nonfederal IE-Voter Calls,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4608,,,ORG,Claire Coy for Senate,,,,,,PO Box 5094,,Grand Forks,ND,58206,,,2024-10-09,3000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4610,,,ORG,Clay County Commonsense PAC,,,,,,11004 Manchester Rd,,St. Louis,MO,63122,,,2024-10-03,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4676,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-02,7800.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4680,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-02,15000.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4677,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-07,70700.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4678,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-07,182648.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4681,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-07,1950.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4679,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-11,1558.68,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4682,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-11,15000.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4683,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-11,1950.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4672,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-22,50500.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4673,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-22,100000.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4674,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-25,72000.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4675,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-10-28,240000.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4612,,,ORG,Freedom and Liberty PAC,,,,,,209 SE Breon Bay,,Lee's Summit,MO,64063,,,2024-10-03,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4614,,,ORG,Freedom is Bold PAC,,,,,,15979 Woodlet Way,,Chesterfield,MO,63017,,,2024-10-03,1000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4698,,,ORG,George for ND Senate,,,,,,2733 47th St S #308,,Fargo,ND,58104,,,2024-10-09,3000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4635,,,ORG,Go Big Media,,,,,,PO Box 25026,,Washington,DC,20027,,,2024-10-02,70000.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4639,,,ORG,Go Big Media,,,,,,PO Box 25026,,Washington,DC,20027,,,2024-10-16,10175.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4636,,,ORG,Go Big Media,,,,,,PO Box 25026,,Washington,DC,20027,,,2024-10-21,50825.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4638,,,ORG,Go Big Media,,,,,,PO Box 25026,,Washington,DC,20027,,,2024-10-21,10000.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4637,,,ORG,Go Big Media,,,,,,PO Box 25026,,Washington,DC,20027,,,2024-10-31,24000.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4616,,,ORG,Heart of SCG PAC,,,,,,8000 Maryland AVe,,St. Louis,MO,63105,,,2024-10-03,1000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4617,,,ORG,Idaho Federation for Children PAC,,,,,,10440 Little Patuxent Pkwy Ste. 30,,Columbia,MD,21044,,,2024-10-16,60000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4619,,,ORG,Judy Estenson for ND Senate,,,,,,8484 Hwy 20,,Warwick,ND,58381,,,2024-10-09,3000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4621,,,ORG,Missouri Leadership PAC,,,,,,901 E Battlefield Rd,,Springfield,MO,65807,,,2024-10-03,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4622,,,ORG,NC Citizens for a Better Tomorrow,,,,,,3100 Smoketree Ct Ste 401,,Raleigh,NC,27604,,,2024-10-21,50000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4624,,,ORG,NEMO Leadership PAC,,,,,,PO Box 52,,Jefferson City,MO,65102,,,2024-10-03,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4700,,,ORG,New Hampshire Senate Republicans PAC,,,,,,PO Box 30,,Concord,NH,03302,,,2024-10-11,25000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
