form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00891168,500138870,,,ORG,"Groundswell Public Strategies, Inc.",,,,,,112 SE 4th St,Unit 202,Des Moines,IA,503094858,,,2024-11-27,20223.98,0.00,Fundraising Ad Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00891168,500136921,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-12-02,3.76,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00891168,500141492,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-12-23,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00891168,500136914,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-28,5.93,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00891168,500145966,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-12-30,260.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00891168,500136917,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-29,0.20,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00891168,500136918,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-30,0.40,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00891168,500138868,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-11-27,280.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00891168,500132488,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-26,5.07,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00891168,500133298,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-27,0.80,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00891168,500138869,,,ORG,Middle Seat,,,,,,PO Box 21600,,Washington,DC,200099600,,,2024-11-27,76964.92,0.00,Fundraising Digital Advertising,,,,,,,,,,,,,,,,,,,,
