form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00035691,B884767,,,CCM,Greg Gianforte for Governor,,,,,,PO Box 877,,Helena,MT,59624,G2024,,2024-09-20,1120.00,,G-2024 Governor  MT,011,,,,Gianforte,Greg,,,,,MT, ,,,,,,,,
SB29,C00035691,B884763,,,CCM,Brian Birdwell Campaign,,,,,,1210 Nueces St,,Austin,TX,78701,P2026,,2024-09-20,1000.00,,P-2026 State Senate 22 TX,011,,,,Birdwell,Brian,,,,S,TX,22,,,,,,,,
SB29,C00035691,B884776,,,CCM,Brad Buckley Campaign,,,,,,1210 Nueces ST,,Austin,TX,78701,G2024,,2024-09-20,1000.00,,G-2024 State House 54 TX,011,,,,Buckley,Brad,,,,H,TX,54,,,,,,,,
SB29,C00035691,B884781,,,CCM,Dustin Burrows Campaign,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,1000.00,,G-2024 State House 83 TX,011,,,,Burrows,Dustin,,,,H,TX,83,,,,,,,,
SB29,C00035691,B884779,,,CCM,Drew Darby Campaign,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,1000.00,,G-2024 State House 72 TX,011,,,,Darby,Drew,,,,H,TX,72,,,,,,,,
SB29,C00035691,B884768,,,CCM,Jay Dean Campaign,,,,,,1210 Nueces St.,,Austin,TX,77870,G2024,,2024-09-20,2500.00,,G-2024 State House 7 TX,011,,,,Dean,Jay,,,,H,TX,07,,,,,,,,
SB29,C00035691,B884772,,,CCM,Ryan Guillen Campaign,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,1000.00,,G-2024 State House 31 TX,011,,,,Guillen,Ryan,,,,H,TX,31,,,,,,,,
SB29,C00035691,B884760,,,CCM,Kelly Hancock for Texas Senate,,,,,,1210 Nueces St,,Austin,TX,78701,P2026,,2024-09-20,2500.00,,P-2026 State Senate 09 TX,011,,,,Hancock,Kelly,,,,S,TX,09,,,,,,,,
SB29,C00035691,B884769,,,CCM,Cody Harris for State House,,,,,,1210 Nueces ST,,Austin,TX,78701,G2024,,2024-09-20,2500.00,,G-2024 State House 08 TX,011,,,,Harris,Cody,,,,H,TX,08,,,,,,,,
SB29,C00035691,B884758,,,CCM,Bryan Hughes Campaign,,,,,,1210 Nueces St,,Austin,TX,78701,P2026,,2024-09-20,2500.00,,P-2026 State Senate 01 TX,011,,,,Hughes,Bryan,,,,S,TX,01,,,,,,,,
SB29,C00035691,B884785,,,CCM,Lacey Hull for State Rerpresentative,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,1000.00,,G-2024 State House 138 TX,011,,,,Hull,Lacey,,,,H,TX,13,,,,,,,,
SB29,C00035691,B884773,,,CCM,Todd Hunter Campaign,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,2500.00,,G-2024 State House 32 TX,011,,,,Hunter,Todd,A,,,H,TX,32,,,,,,,,
SB29,C00035691,B884761,,,CCM,Phil King for State Senate,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,2500.00,,G-2024 State Senate 10 TX,011,,,,King,Phil,,,,S,TX,10,,,,,,,,
SB29,C00035691,B884766,,,CCM,Morgan LaMantia for State Senate,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,1000.00,,G-2024 State Senate 27 TX,011,,,,LaMantia,Morgan,,,,S,TX,27,,,,,,,,
SB29,C00035691,B884780,,,CCM,Brooks Landgraf Campaign,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,2500.00,,G-2024 State House 81 TX,011,,,,Landgraf,Brooks,,,,H,TX,81,,,,,,,,
SB29,C00035691,B884778,,,CCM,Jeff Leach for State House,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,2500.00,,G-2024 State House 67 TX,011,,,,Leach,Jeff,,,,H,TX,67,,,,,,,,
SB29,C00035691,B884774,,,CCM,Janie Lopez Campaign,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,1000.00,,G-2024 State House 37 TX,011,,,,Lopez,Janie,,,,H,TX,37,,,,,,,,
SB29,C00035691,B884784,,,CCM,John Lujan III Campaign Fund,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,2500.00,,G-2024 State House 118 TX,011,,,,Lujan,John,,,III,H,TX,11,,,,,,,,
SB29,C00035691,B884770,,,CCM,The Will Metcalf Campaign,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,2500.00,,G-2024 State House 16 TX,011,,,,Metcalf,Will,,,,H,TX,16,,,,,,,,
SB29,C00035691,B884783,,,CCM,Morgan Meyer for Texas,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,1000.00,,G-2024 State House 108 TX,011,,,,Meyer,Morgan,,,,H,TX,10,,,,,,,,
SB29,C00035691,B884762,,,CCM,Tan Parker for Senate District 12,,,,,,1210 Nueces St,,Austin,TX,78701,G2024,,2024-09-20,2000.00,,G-2024 State Senate 12 TX,011,,,,Parker,Nathaniel,W,,,S,TX,12,,,,,,,,
SB29,C00035691,B884782,,,CCM,Jared Patterson Campaign for State Representative,,,,,,1210 Nueces ST,,Austin,TX,78701,G2024,,2024-09-20,2500.00,,G-2024 State House 106 TX,011,,,,Patterson,Jared,,,,H,TX,10,,,,,,,,
SB29,C00035691,B884764,,,CCM,Charles Perry for State Senate,,,,,,1210 Nueces St,,Austin,TX,78701,P2026,,2024-09-20,2500.00,,P-2026 State Senate 28 TX,011,,,,Perry,Charles,,,,S,TX,28,,,,,,,,
SB29,C00035691,B884775,,,CCM,Richard Raymond Campaign,,,,,,1210 Nueces ST,,Austin,TX,78701,G2024,,2024-09-20,1000.00,,G-2024 State House 42 TX,011,,,,Raymond,Richard,,,,H,TX,42,,,,,,,,
SB29,C00035691,B884759,,,CCM,Dr. Charles Schwertner for State Senate,,,,,,1210 Nueces ST,,Austin,TX,78701,P2026,,2024-09-20,1000.00,,P-2026 State Senate 5 TX,011,,,,Schwertner,Charles,,,,S,TX,05,,,,,,,,
SB29,C00035691,B884777,,,CCM,Shelby Slawson for Texas,,,,,,1210 Nueces ST,,Austin,TX,76870,G2024,,2024-09-20,1000.00,,G-2024 State House 59 TX,011,,,,Slawson,Shelby,L,,,H,TX,59,,,,,,,,
SB29,C00035691,B884765,,,CCM,Kevin Sparks Campaign,,,,,,1210 Nueces St,,Austin,TX,78701,P2026,,2024-09-20,1000.00,,P-2026 State Senate District 31 TX,011,,,,Sparks,Kevin,,,,S,TX, ,,,,,,,,
SB29,C00035691,B889434,,,CCM,Friends of Brandon Creighton,,,,,,1210 Nueces St,,Austin,TX,78701,P2026,,2024-09-26,2000.00,,P-2026 State Senate 04 TX,011,,,,Creighton,Brandon,,,,S,TX,04,,,,,,,,
