form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00823609,SB21B.6900,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2024-12-03,526.32,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6901,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-26,8.27,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6902,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-27,1.07,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6903,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-29,0.63,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6904,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-03,0.04,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6905,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-04,1.97,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6906,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-05,0.78,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6907,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-06,3.23,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6908,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-09,0.08,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6909,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-10,0.20,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00823609,SB21B.6910,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-12-11,4.10,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
