form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00828343,501045084,,,ORG,Civitech,,,,,,21750 Hardy Oak Blvd,Ste 104,San Antonio,TX,782584946,,,2023-05-18,795.00,0.00,Data Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00828343,500128305,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW,Ste 400,Washington,DC,200015825,,,2023-01-14,5023.50,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00828343,500128302,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW,Ste 400,Washington,DC,200015825,,,2023-02-04,2110.12,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00828343,501018179,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW,Ste 400,Washington,DC,200015825,,,2023-03-13,1202.75,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00828343,501045083,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW,Ste 400,Washington,DC,200015825,,,2023-05-22,1938.00,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00828343,501018178,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,Num 143,Washington,DC,200034303,,,2023-03-13,504.99,0.00,Compliance and Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00828343,501018177,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,Num 143,Washington,DC,200034303,,,2023-03-24,500.00,0.00,Compliance and Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00828343,501018176,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,Num 143,Washington,DC,200034303,,,2023-04-30,500.00,0.00,Compliance and Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00828343,501047364,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,Num 143,Washington,DC,200034303,,,2023-05-26,500.00,0.00,Compliance and Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00828343,501055161,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,Num 143,Washington,DC,200034303,,,2023-06-29,500.50,0.00,Compliance and Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00828343,500128303,,,ORG,Rally by Relentless PBC,,,,,,2093 Philadelphia Pike,Ste 7887,Claymont,DE,197032424,,,2023-02-04,15000.00,0.00,Software and Voter Data,,,,,,,,,,,,,,,,,,,,
