form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00580068,500170300,,,ORG,Rally By Relentless,,,,,,2093 Philadelphia Pike,,Claymont,DE,197032424,,,2024-01-02,750000.00,0.00,Relational Organizing Consultant,,,,,,,,,,,,,,,,,,,,
SB21B,C00580068,500170310,,,ORG,Windward Strategies,,,,,,5713 Overlea Rd,,Bethesda,MD,208161918,,,2024-01-30,17198.45,0.00,printing and postage,,,,,,,,,,,,,,,,,,,,
SB21B,C00580068,500170350,,,ORG,American Express,,,,,,200 Vesey St,,New York,NY,102851000,,,2024-01-31,4061.43,0.00,Credit Card Expenditures - See Detail Below,,,,,,,,,,,,,,,,,,,,
SB21B,C00580068,500170360,500170350,SB21B,ORG,GOOGLE,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-01-01,720.00,0.00,Software,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00580068,500170380,500170350,SB21B,ORG,Comcast,,,,,,1500 McConnor Pkwy,Ste 100,Schaumburg,IL,601734330,,,2024-01-20,372.66,0.00,Office Communication,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00580068,500170390,500170350,SB21B,ORG,American Express Travel,,,,,,500 W Madison St,Ste 1000,Chicago,IL,606612559,,,2024-01-23,-424.18,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00580068,500170381,500170350,SB21B,ORG,GOOGLE,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-01-20,48.00,0.00,Software,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00580068,500170391,500170350,SB21B,ORG,GOOGLE,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-01-24,12.00,0.00,Software,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00580068,500170362,500170350,SB21B,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2024-01-03,15.42,0.00,Supplies,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00580068,500170382,500170350,SB21B,ORG,APOLLO ARTISTRY,,,,,,7101 University Ave,,Windsor Heights,IA,503241436,,,2024-01-20,150.00,0.00,Graphic Design,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00580068,500170383,500170350,SB21B,ORG,American Express Travel,,,,,,500 W Madison St,Ste 1000,Chicago,IL,606612559,,,2024-01-21,-206.33,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
