form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00573444,SB21B.I69064,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,SUITE 1770,NEW ORLEANS,LA,701125204,,,2024-10-14,19.80,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69056,,,ORG,CAPITOL CAGING CORPORATION,,,,,,504 SHAW RD,STE 217,STERLING,VA,201669438,,,2024-10-08,1507.03,,JFC CAGING & ESCROW,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I68920,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2024-10-01,750.00,,JFC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69048,,,ORG,CONSOLIDATED MAILING SERVICES,,,,,,504 SHAW RD,STE 206,STERLING,VA,201669437,,,2024-10-01,4625.00,,JFC PRINTING & MAIL SHOP,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69057,,,ORG,CONSOLIDATED MAILING SERVICES,,,,,,504 SHAW RD,STE 206,STERLING,VA,201669437,,,2024-10-08,10308.73,,JFC PRINTING & MAIL SHOP,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69063,,,ORG,CONSOLIDATED MAILING SERVICES,,,,,,504 SHAW RD,STE 206,STERLING,VA,201669437,,,2024-10-11,213.00,,JFC PO BOX RENEWAL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69067,,,ORG,CONSTANT CONTACT,,,,,,1601 TRAPELO ROAD,,WALTHAM,MA,02451,,,2024-10-15,739.00,,JFC E-MARKETING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69049,,,ORG,DIRECT SUPPORT SYSTEMS INC,,,,,,4095 RIVER FORTH DRIVE,,FAIRFAX,VA,220308565,,,2024-10-01,1676.39,,JFC DATA PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69054,,,ORG,DIRECT SUPPORT SERVICES,,,,,,1155 15TH STREET NORTHWEST,STE 410,WASHINGTON,DC,20005,,,2024-10-03,51344.97,,JFC POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69058,,,ORG,DIRECT SUPPORT SERVICES,,,,,,1155 15TH STREET NORTHWEST,STE 410,WASHINGTON,DC,20005,,,2024-10-08,4985.32,,JFC POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69059,,,ORG,DIRECT SUPPORT SYSTEMS INC,,,,,,4095 RIVER FORTH DRIVE,,FAIRFAX,VA,220308565,,,2024-10-08,598.04,,JFC DATA PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69050,,,ORG,DONOR BUREAU LLC,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2024-10-01,365.11,,JFC PRINTING & MAILSHOP,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69052,,,ORG,FIRST VIRGINIA COMMUNITY BANK,,,,,,11325 RANDOM HILLS RD,,FAIRFAX,VA,220306051,,,2024-10-01,343.26,,JFC BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69053,,,ORG,FIRST VIRGINIA COMMUNITY BANK,,,,,,11325 RANDOM HILLS RD,,FAIRFAX,VA,220306051,,,2024-10-02,1181.71,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69055,,,ORG,FIRST VIRGINIA COMMUNITY BANK,,,,,,11325 RANDOM HILLS RD,,FAIRFAX,VA,220306051,,,2024-10-07,46.15,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69060,,,ORG,FORTHRIGHT STRATEGY INC,,,,,,1155 15TH STREET NORTHWEST,,WASHINGTON,DC,20005,,,2024-10-08,12769.90,,JFC DIRECT MAIL CREATIVE FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69051,,,ORG,LEGACY LISTS INC,,,,,,1155 15TH ST NW,STE 410,WASHINGTON,DC,200052748,,,2024-10-01,1691.44,,JFC LIST RENTAL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69062,,,ORG,MADERA ESCROW LLC,,,,,,11325 RANDOM HILLS ROAD,,FAIRFAX,VA,22030,,,2024-10-10,564.90,,JFC CAGING & ESCROW,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69061,,,ORG,PLANET DIRECT INC,,,,,,11050 CHALLENGER CT,,MANASSAS,VA,20109,,,2024-10-08,10422.38,,JFC PRINTING & MAILSHOP,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I68949,,,ORG,PROFESSIONAL DATA SERVICES,,,,,,824 S MILLEDGE AVE STE 101,,ATHENS,GA,30605    ,,,2024-10-04,603.80,,JFC COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69066,,,ORG,WELLS FARGO,,,,,,SIXTH & MARQUETTE,,MINNEAPOLIS,MN,55402    ,,,2024-10-11,124.01,,JFC BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69016,,,ORG,WINRED TECHNICAL SERVICES,,,,,,P.O. BOX 9891,,ARLINGTON,VA,222191891,,,2024-10-14,106.19,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00573444,SB21B.I69065,,,ORG,WINRED TECHNICAL SERVICES,,,,,,P.O. BOX 9891,,ARLINGTON,VA,222191891,,,2024-10-16,1.11,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
