form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763888,SB21B.5935,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2023-06-30,2392.29,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5945,,,ORG,Dialogue Digital,,,,,,1155 Sherman St,,Denver,CO,80203,,,2023-05-15,9065.74,,Digital Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5947,,,ORG,Dialogue Digital,,,,,,1155 Sherman St,,Denver,CO,80203,,,2023-05-24,8355.55,,Digital Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5948,,,ORG,Dialogue Digital,,,,,,1155 Sherman St,,Denver,CO,80203,,,2023-06-02,1900.17,,Digital Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5949,,,ORG,Dialogue Digital,,,,,,1155 Sherman St,,Denver,CO,80203,,,2023-06-08,8000.00,,Digital Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5950,,,ORG,Dialogue Digital,,,,,,1155 Sherman St,,Denver,CO,80203,,,2023-06-22,5000.00,,Digital Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5951,,,ORG,Dialogue Digital,,,,,,1155 Sherman St,,Denver,CO,80203,,,2023-06-29,7000.00,,Digital Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5952,,,ORG,JG Strategies,,,,,,1657 N Miami Ave,Apt 610,Miami,FL,33136,,,2023-04-21,496.56,,Graphic Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5940,,,ORG,JG Strategies,,,,,,1657 N Miami Ave,Apt 610,Miami,FL,33136,,,2023-05-02,5000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5944,,,ORG,JG Strategies,,,,,,1657 N Miami Ave,Apt 610,Miami,FL,33136,,,2023-05-24,2500.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5942,,,ORG,JG Strategies,,,,,,1657 N Miami Ave,Apt 610,Miami,FL,33136,,,2023-05-31,2000.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00763888,SB21B.5943,,,ORG,JG Strategies,,,,,,1657 N Miami Ave,Apt 610,Miami,FL,33136,,,2023-06-27,5050.00,,Strategic Consulting,,,,,,,,,,,,,,,,,,,,
