form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00405878,SB21B.31047,,,ORG,AAA Carolinas,,,,,,AAA Carolinas Headquarters,6600 AAA Drive,Charlotte,NC,28212,,,2024-07-01,93.00,,travel insurance for events,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31067,,,ORG,Amazon.com Inc,,,,,,1200 12th Ave S # 1200,,Seattle,WA,98104,,,2024-08-07,43.11,,office supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31065,,,ORG,BrandYourself,,,,,,336 West 37th St,Suite 1200,New York,NY,10018,,,2024-08-05,36.97,,online advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31089,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2024-09-05,60.35,,payroll processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31090,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2024-09-05,1083.96,,payroll taxes,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31102,,,ORG,Corporate Payroll Service,,,,,,1000 Miller Court West,,Norcross,GA,30071,,,2024-09-30,134.65,,payroll processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31055,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-07-29,19.99,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31056,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-07-29,23.99,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31063,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-08-05,14.99,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31064,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-08-05,23.99,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31072,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-08-15,25.98,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31074,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-08-19,20.99,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31075,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-08-19,50.35,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31079,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-08-22,12.99,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31085,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-09-03,25.98,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31087,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-09-04,64.95,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31095,,,ORG,Dotster Inc.,,,,,,PO Box 821066,,Vancouver,WA,98682,,,2024-09-18,23.99,,domain hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31048,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-07-01,257.14,,online advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31060,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-08-01,405.36,,online advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31086,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,94025,,,2024-09-03,292.46,,online advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31062,,,IND,,Gheen,William,,,,PO Box 30966,,Raleigh,NC,27622,,,2024-08-02,2200.00,,payroll,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31077,,,IND,,Gheen,William,,,,PO Box 30966,,Raleigh,NC,27622,,,2024-08-20,1000.00,,payroll,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31088,,,IND,,Gheen,William,,,,PO Box 30966,,Raleigh,NC,27622,,,2024-09-04,2200.00,,payroll,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31091,,,IND,,Gheen,William,,,,PO Box 30966,,Raleigh,NC,27622,,,2024-09-06,400.00,,retirement fund,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31098,,,IND,,Gheen,William,,,,PO Box 30966,,Raleigh,NC,27622,,,2024-09-26,1000.00,,payroll,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31052,,,ORG,"Grammarly, Inc.",,,,,,"548 Market Street, #35410",,San Francisco,CA,94104,,,2024-07-16,95.88,,spellcheck and grammer check software,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31099,,,ORG,"Grammarly, Inc.",,,,,,"548 Market Street, #35410",,San Francisco,CA,94104,,,2024-09-27,139.95,,spelling and grammer checking software,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31050,,,ORG,MailChimp,,,,,,512 Means St.,Suite 404,Atlanta,GA,30318,,,2024-07-08,332.00,,email distribution service,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31059,,,ORG,MailChimp,,,,,,512 Means St.,Suite 404,Atlanta,GA,30318,,,2024-08-01,5.00,,email distribution,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31068,,,ORG,MailChimp,,,,,,512 Means St.,Suite 404,Atlanta,GA,30318,,,2024-08-07,365.00,,email distribution,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31093,,,ORG,MailChimp,,,,,,512 Means St.,Suite 404,Atlanta,GA,30318,,,2024-09-09,365.00,,email distribution,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31053,,,ORG,Moonray Web Design,,,,,,543 Cox Rd,Suite B,Gastonia,NC,28054,,,2024-07-17,94.00,,website hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31076,,,ORG,Moonray Web Design,,,,,,543 Cox Rd,Suite B,Gastonia,NC,28054,,,2024-08-19,94.00,,website hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31096,,,ORG,Moonray Web Design,,,,,,543 Cox Rd,Suite B,Gastonia,NC,28054,,,2024-09-19,94.00,,website hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31046,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2024-07-01,29.90,,email hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31058,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2024-07-29,29.90,,email hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31084,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2024-08-29,29.90,,email hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31101,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2024-09-30,29.90,,email hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.31082,,,ORG,Specialty Mailings,,,,,,2801 Clark st,,St. Louis,MO,631032505,,,2024-08-23,88.40,,mailing list processing,,,,,,,,,,,,,,,,,,,,
