form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00826230,SB21B.5119,,,ORG,CAPITAL CAMPAIGN GROUP,,,,,,4030 HENDERSON BLVD,SUITE 351,TAMPA,FL,33629,,,2024-04-04,1995.04,,FUNDRAISING CONSULTING EXPENSES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5377,,,IND,,HEISEL,GEORGE,,,,5150 N BAY RD,,MIAMI BEACH,FL,33140,,,2024-05-13,11063.64,,IN-KIND: EVENT EXPENSES: CATERING & VALET SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5104,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2024-04-03,522.02,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5105,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2024-04-30,500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5106,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2024-06-07,500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5107,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,SUITE 401,BEVERLY,MA,01915,,,2024-06-07,121.38,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5109,,,ORG,"S. WHITE STRATEGIES, LLC",,,,,,525 MONTGOMERY ST,UNIT 343,ALEXANDRIA,VA,22314,,,2024-06-07,7302.26,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5120,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-04-03,160.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5121,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-01,137.60,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5122,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-02,211.20,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5123,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-06,64.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5124,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-07,64.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5125,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-08,169.60,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5126,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-09,169.60,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00826230,SB21B.5127,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-05-10,780.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
