form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00834507,SB21B.4668,,,ORG,116 Club,,,,,,234 3rd St NE,,Washington,DC,20002,,,2024-02-06,824.11,,PAC Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4613,,,ORG,ALAMO RENT-A-CAR,,,,,,600 Corporate,,St Louis,MO,63105,,,2024-01-16,314.19,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4608,,,ORG,American Airlines,,,,,,4255 Amon Carter Boulevard,,Ft Worth,TX,76155,,,2024-01-26,269.10,,PAC - Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4669,,,ORG,American Airlines,,,,,,4255 Amon Carter Boulevard,,Ft Worth,TX,76155,,,2024-02-09,614.10,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4670,,,ORG,American Airlines,,,,,,4255 Amon Carter Boulevard,,Ft Worth,TX,76155,,,2024-02-09,614.10,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4671,,,ORG,American Airlines,,,,,,4255 Amon Carter Boulevard,,Ft Worth,TX,76155,,,2024-02-12,430.10,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4672,,,ORG,American Airlines,,,,,,4255 Amon Carter Boulevard,,Ft Worth,TX,76155,,,2024-02-20,269.10,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4673,,,ORG,American Airlines,,,,,,4255 Amon Carter Boulevard,,Ft Worth,TX,76155,,,2024-02-21,406.84,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4674,,,ORG,American Airlines,,,,,,4255 Amon Carter Boulevard,,Ft Worth,TX,76155,,,2024-02-21,342.10,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4676,,,ORG,Anedot,,,,,,1340 Poydras St,Ste 1770,New Orleans,LA,70112,,,2024-02-02,861.80,,PAC Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.4680,,,ORG,Breakers Hotel,,,,,,1 S County Rd,,Palm Beach,FL,33480,,,2024-02-13,1032.27,,PAC Lodging,,,,,,,,,,,,,,,,,,,,
