form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00556860,EB1452,,,ORG,76 Words Company,,,,,,1328 Florida Avenue Northwest,,Washington,DC,20009,,,2024-05-10,69093.90,,Website Creation and Non-Electoral Digital Ads,006,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,EB1450,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-05-15,197.50,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,EB1457,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-05-28,0.99,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,EB1461,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-06-03,0.20,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,EB1465,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-06-17,9.88,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,EB1471,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-06-30,3.95,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,EB1500,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-06-30,987.50,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,EB1462,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,,,2024-05-01,394.22,,Staff Time for Non-Federal Activity,001,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,NB1447,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,,,2024-05-08,818.70,,Polling; In-Kind Contribution,,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,EB1532,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,,,2024-05-17,870.36,,Staff Time - Non-Independent Expenditure Activity,001,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,EB1468,,,ORG,Planned Parenthood Affiliates of California,,,,,,"1201 K Street, Suite 710",,Sacramento,CA,95814,,,2024-06-27,587.35,,Staff Time - Non Independent Expenditure Activity,001,,,,,,,,,,,,,,,,,,,
SB21B,C00556860,NB1463,,,ORG,Planned Parenthood Votes,,,,,,"123 William Street, 10th Floor",,New York,NY,10038,,,2024-05-14,327.20,,In-Kind; Staff Time for Independent Expenditure Launch Program,,,,,,,,,,,,,,,,,,,,
