form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00831651,SB21B.I676,,,ORG,"DIRECT MAIL PROCESSORS, INC",,,,,,1150 CONRAD CT,,HAGERSTOWN,MD,21740,,,2024-10-04,870.28,,PAC DIRECT MAIL CAGING & POSTAGE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831651,SB21B.I673,,,ORG,ELITE CARD PROCESSING,,,,,,13701 MAUGAR SUITE 5,,HAGERSTOWN,MD,21740,,,2024-10-02,188.27,,PAC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831651,SB21B.I675,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,20166,,,2024-10-04,5374.81,,PAC DIRECT MAIL PRODUCTION,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831651,SB21B.I674,,,ORG,MIDDLETOWN VALLEY BANK,,,,,,24 W. MAIN ST,PO BOX 75,MIDDLETOWN ,MD,21769,,,2024-10-02,70.20,,PAC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831651,SB21B.I678,,,ORG,MIDDLETOWN VALLEY BANK,,,,,,24 W. MAIN ST,PO BOX 75,MIDDLETOWN ,MD,21769,,,2024-10-04,25.00,,PAC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831651,SB21B.I677,,,ORG,"ONPOINT DATA STRATEGY, LLC",,,,,,20130 LAKEVIEW CENTER PLAZA,SUITE 300,ASHBURN,VA,20147,,,2024-10-04,303.43,,PAC DIRECT MAIL PROCESSING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831651,SB21B.I655,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD.,,ARLINGTON,VA,22209,,,2024-10-04,3.94,,PAC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831651,SB21B.I671,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD.,,ARLINGTON,VA,22209,,,2024-10-09,4.06,,PAC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831651,SB21B.I672,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD.,,ARLINGTON,VA,22209,,,2024-10-11,2.19,,PAC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831651,SB21B.I682,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD.,,ARLINGTON,VA,22209,,,2024-10-16,9.90,,PAC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00831651,SB21B.I683,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BLVD.,,ARLINGTON,VA,22209,,,2024-10-16,12.85,,PAC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
