form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00682211,500057450,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-02-13,1432.15,0.00,Subscription,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057481,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2023-02-07,25.00,0.00,Digital Advertising,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057439,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2023-02-08,25.00,0.00,Digital Advertising,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057441,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2023-02-09,25.00,0.00,Digital Advertising,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057445,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2023-02-10,35.00,0.00,Digital Advertising,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057447,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2023-02-13,50.00,0.00,Digital Advertising,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057453,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2023-02-15,75.00,0.00,Digital Advertising,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057456,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2023-02-17,75.00,0.00,Digital Advertising,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057468,,,ORG,Facebook Inc.,,,,,,1 Hacker Way,,Menlo Park,CA,940251456,,,2023-02-28,75.23,0.00,Digital Advertising,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057461,,,ORG,Intuit Inc,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2023-02-24,138.92,0.00,Subscription,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057473,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-01,38.85,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057474,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-02,30.80,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057475,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-03,17.91,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057438,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-08,257.82,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057440,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-09,134.42,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057444,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-10,49.31,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057449,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-13,61.31,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057451,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-14,73.68,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057454,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-15,50.60,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057457,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-21,198.93,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057464,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-24,43.69,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057465,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,941072503,,,2023-02-27,115.79,0.00,Travel,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00682211,500057443,,,ORG,The New Yorker,,,,,,1 World Trade Ctr,,New York,NY,100070089,,,2023-02-10,187.41,0.00,Subscription,,,,,,,,,,,,,,,,,,,,Non-Contribution Account
