form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00806612,SB21B.952161,,,ORG,"ACE SPECIALTIES, LLC",,,,,,PO BOX 80427,,LAFAYETTE,LA,70598,,,2023-07-18,32.00,,MERCHANDISE FEES
SB21B,C00806612,SB21B.950790,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-07-06,37.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.951645,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-07-12,15.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.954278,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-08-03,37.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.954954,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-08-09,15.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.960443,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-09-05,37.50,,FUNDRAISING FEES
SB21B,C00806612,SB21B.961853,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-09-14,373.79,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962079,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-09-15,94.40,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962251,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-09-18,96.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.962471,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-09-19,24.00,,FUNDRAISING FEES
SB21B,C00806612,SB21B.963654,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-09-28,859.20,,FUNDRAISING FEES
SB21B,C00806612,SB21B.963826,,,ORG,AD VICTORIAM,,,,,,6625 SHILOH ROAD,,ALPHARETTA,GA,30005,,,2023-09-29,21.60,,FUNDRAISING FEES
SB21B,C00806612,SB21B.958793,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-08-21,3012.15,,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED
SB21B,C00806612,SB21B.958793.001,SB21B.958793,,ORG,AMWAY GRAND PLAZA HOTEL,,,,,,187 MONROE AVE NW,,GRAND RAPIDS,MI,49503,,,2023-06-29,3012.15,,EVENT EXPENSE: FACILITY RENTAL & CATERING,,,,,,,,,,,,,,,,,,,X
SB21B,C00806612,SB21B.963046,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-09-21,1086.33,,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED
SB21B,C00806612,SB21B.963046.001,SB21B.963046,,ORG,MARTHA'S CATERING,,,,,,1122 MICHIGAN ST NE,,GRAND RAPIDS,MI,49503,,,2023-08-01,1086.33,,EVENT EXPENSE: CATERING,,,,,,,,,,,,,,,,,,,X
SB21B,C00806612,SB21B.955474,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENNINGBROUGH PL,,LEESBURG,VA,20176,,,2023-08-14,126.00,,FUNDRAISING FEES
