form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00819110,SB21B.5056,,,ORG,Airbnb,,,,,,888 Brannan St,,San Francisco,CA,94103,,,2024-05-06,1329.40,,"National convention travel lodging, 4 nights",,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
SB21B,C00819110,SB21B.5039,,,ORG,Bloomerang,,,,,,5724 Birtz Rd,,Indianapolis,IN,46216,,,2024-04-05,45.62,,"CRM svc sub, month upgrade",,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
SB21B,C00819110,SB21B.5054,,,ORG,Bloomerang,,,,,,5724 Birtz Rd,,Indianapolis,IN,46216,,,2024-04-22,278.27,,"CRM svc sub, annual",,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
SB21B,C00819110,SB21B.5049,,,ORG,Bloomerang,,,,,,5724 Birtz Rd,,Indianapolis,IN,46216,,,2024-04-30,15.05,,"Processing fees, Apr",,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
SB21B,C00819110,SB21B.5060,,,ORG,Bloomerang,,,,,,5724 Birtz Rd,,Indianapolis,IN,46216,,,2024-05-09,61.03,,"CRM svc sub, month upgrade",,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
SB21B,C00819110,SB21B.5096,,,ORG,Bloomerang,,,,,,5724 Birtz Rd,,Indianapolis,IN,46216,,,2024-05-31,20.10,,"Processing fees, May",,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
SB21B,C00819110,SB21B.5108,,,ORG,Bloomerang,,,,,,5724 Birtz Rd,,Indianapolis,IN,46216,,,2024-06-07,61.03,,"CRM svc sub, month upgrade",,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
SB21B,C00819110,SB21B.5142,,,ORG,Bloomerang,,,,,,5724 Birtz Rd,,Indianapolis,IN,46216,,,2024-06-30,28.73,,"Processing fees, Jun",,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
SB21B,C00819110,SB21B.5048,,,PTY,"LIBERTARIAN NATIONAL COMMITTEE, INC.",,,,,,1444 DUKE STREET,,ALEXANDRIA,VA,22314,,,2024-04-22,522.50,,National convention area 'C' vendor table rental,,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
SB21B,C00819110,SB21B.5065,,,PTY,"LIBERTARIAN NATIONAL COMMITTEE, INC.",,,,,,1444 DUKE STREET,,ALEXANDRIA,VA,22314,,,2024-05-24,261.25,,Presidential candidate debate promotion,,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
SB21B,C00819110,SB21B.5102,,,ORG,UPS Store #6691,,,,,,2024 W 15th St F,,Plano,TX,75075,,,2024-05-22,207.24,,Shipment of tabling materials for national convention,,C00819110,CLASSICAL LIBERAL CAUCUS,,,,,,,,,,,,,,,,,
