form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00834077,SB.522,,SB21B,ORG,1 800 GOT JUNK,,,,,,887 GREAT NORTHERN WAY STE 301,,VANCOUVER,ZZ,99999,,,2024-01-02,262.88,,MOVING SERVICES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.520,,SB21B,ORG,A1 SHREDDING,,,,,,1791 WEST OAK PKWY STE 10,,MARIETTA,GA,30062,,,2024-01-02,154.50,,MOVING SERVICES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.580,,SB21B,ORG,ALLIANT ENERGY,,,,,,200 1ST ST SOUTH,,CEDAR RAPIDS,IA,52401,,,2024-01-02,425.98,,UTILITIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.452,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,113.41,,OFFICE EQUIPMENT,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.453,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,48.74,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.455,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,77.71,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.464,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,211.90,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.466,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,99.98,,OFFICE EQUIPMENT,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.471,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,42.36,,OFFICE EQUIPMENT,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.472,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,46.36,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.474,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,204.56,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.479,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,96.29,,OFFICE EQUIPMENT,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.480,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,332.08,,OFFICE EQUIPMENT,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.483,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,37.62,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.484,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,37.09,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.487,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,102.46,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.498,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,94.23,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.511,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,85.68,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.513,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,158.32,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.514,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,45.74,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.535,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,262.33,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.538,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,194.90,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.548,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,310.29,,OFFICE EQUIPMENT,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.549,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,2526.95,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.554,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,86.66,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.563,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,187.19,,OFFICE EQUIPMENT,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.568,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,245.76,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.569,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,39.21,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.576,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,69.95,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.588,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,234.44,,OFFICE EQUIPMENT,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.590,,SB21B,ORG,AMAZON,,,,,,410 TERRY AVENUE N,,SEATTLE,WA,98109,,,2024-01-02,103.84,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,X,SB.45
